Index,Quantity,Digikey Part Number,Manufacturer Part Number,Description,Price (CAD),Unit Price (CAD),Link,,
1,1,1528-4481-ND,4481,"	ITSYBITSY NRF52840 EXPRESS BLE",26.96,26.96,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4481/11497502,,
2,1,1568-1213-ND,COM-12986,ADDRESS LED DISC SER RGB 5MM 5PC,3.99,3.99,https://www.digikey.ca/en/products/detail/COM-12986/1568-1213-ND/5673799,,
3,2,S7047-ND,PPPC141LFBN-RC,CONN HDR 14POS 0.1 GOLD,1.28,1.28,https://www.digikey.ca/en/products/detail/PPPC141LFBN-RC/S7047-ND/810186,,
4,8,CP1-3535NG-ND,"	SJ1-3535NG",CONN JACK STEREO 3.5MM R/A,1.61,1.61,https://www.digikey.ca/product-detail/en/cui-inc/SJ1-3535NG/CP1-3535NG-ND,,
5,2,CP-43514-ND,SJ-43514,CONN JACK 4COND 3.5MM,1.43,1.43,https://www.digikey.ca/en/products/detail/SJ-43514/CP-43514-ND/368146,,
6,2,36-4708-ND,4708,"HEX NUT 0.217"" STEEL M3",0.23,0.23,https://www.digikey.ca/en/products/detail/keystone-electronics/4708/4499301,,
7,2,335-1148-ND,RM3X10MM 2701,MACH SCREW PAN HEAD PHILLIPS M3,0.92,0.92,https://www.digikey.ca/en/products/detail/apm-hexseal/RM3X10MM-2701/3712296,,
8,1,PRT-14417-ND,PRT-14417,QWIIC JST CONNECTOR - SMD 4-PIN,0.68,0.68,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-14417/7652746,,
9,1,1528-1443-ND,2124,PRO TRINKET LI-BATTERY BACKPACK,6.69,6.69,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/2124/5761211,,
10,1,S7036-ND,PPPC031LFBN-RC,CONN HDR 3POS 0.1 GOLD PCB,0.5,0.5,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPPC031LFBN-RC/810175,,
11,1,1528-1841-ND,1578,BATTERY LITHIUM 3.7V 500MAH,13.99,13.99,https://elmwoodelectronics.ca/collections/adafruit/products/lithium-ion-polymer-battery-3-7v-500mah,,
,,,,,,,,,
,,,,,Total Price (CAD),73.41,,,
